id	abbr	area
32	AK	1208154.1936035156
4	TX	261254.9733581543
37	MT	226941.15087890625
0	NE	142200.95861816406
3	SD	140758.92919921875
29	KS	135256.4302368164
40	ND	125081.48083496094
16	CO	93083.84490966797
33	NV	87887.13287353516
30	ID	82217.24975585938
12	OR	76899.580078125
2	NM	68547.83984375
18	UT	54325.68054199219
19	OK	48129.229736328125
22	WY	47551.1796875
39	MN	39154.159912109375
15	MO	37817.96594238281
42	IA	28222.39990234375
9	GA	26639.63409423828
11	AR	18514.579833984375
26	MI	17734.349731445312
5	CA	14521.97998046875
14	MS	12283.050048828125
34	IL	11733.594116210938
23	WV	11673.31201171875
6	KY	11223.854934692383
1	WA	10477.986999511719
20	VA	7759.761724948883
10	WI	7381.904846191406
24	LA	6986.4000244140625
21	TN	4971.845977783203
47	AZ	4770.7001953125
25	NY	4447.990234375
31	FL	3571.4300537109375
17	NC	3354.2410278320312
13	PA	3298.18994140625
27	IN	2637.8369903564453
35	VT	1930.6019744873047
8	AL	1675.780029296875
45	HI	31.057600021362305
