abbr	total
TX	8132.499981880188
GA	7934.900032043457
VA	5853.400012969971
KY	5764.500015258789
TN	5043.5000076293945
MO	4990.600009918213
NC	4949.200000762939
MS	4736.5
IL	4166.800018310547
IN	3951.900001525879
AR	3846.3000106811523
LA	3821.099994659424
AL	3719.300003051758
FL	3686.600009918213
IA	3489.9000129699707
OH	3484.900016784668
KS	3184.799991607666
OK	2928.7000007629395
PA	2897.599994659424
MI	2776.799997329712
NY	2627.200023651123
MN	2534.2000007629395
WV	2455
WI	2392.1999855041504
NE	2389.2999925613403
SC	2190.300003051758
CA	1613.0000128746033
AK	1559.6999888420105
SD	1472.1999969482422
WA	1468.5000009536743
OR	1347.399995803833
CO	1065.9000005722046
MD	1060.5999870300293
