name	life_expectancy	avg_income
adair county	77.97	33578
adams county	77.77	38736
adams county	79.19	42800
adams county	79.72	39167
adams county	80.02	43315
adams county	80.6	37452
aitkin county	80.35	39780
albany county	80.54	40444
alcona county	78.26	38375
alfalfa county	78.21	40624
alger county	79.49	33767
allegany county	79.05	34880
alleghany county	77.86	37549
allen county	77.95	42816
alpena county	78.7	40985
amherst county	77.77	37160
anderson county	78.79	38539
androscoggin county	78.28	41528
appanoose county	78.33	38478
archuleta county	82.08	41947
aroostook county	78.71	41241
ashland county	78.78	38441
atchison county	78.39	42633
baca county	77.95	40968
bailey county	78.22	42507
baker county	77.97	38666
baker county	78.29	40699
bandera county	79.9	43459
bannock county	77.86	38160
baraga county	78.01	33519
barton county	77.97	35884
bay county	78.37	41722
bear lake county	78.65	38493
bedford county	79.25	42889
bee county	77.87	28457
bell county	77.91	42773
beltrami county	78.41	41565
benton county	78.41	42775
benton county	79.49	43830
benzie county	79.66	43557
berkeley county	77.76	40415
bernalillo county	78.7	44057
big horn county	77.76	36903
bingham county	78.65	36335
boise county	81.05	43392
bon homme county	81.3	38851
bond county	78.87	37653
bonner county	79.37	41209
boundary county	78.19	36934
box elder county	79.5	37390
bradford county	78.72	41331
branch county	78.04	37622
brazos county	79.92	39216
broadwater county	79.57	39306
bronx county	78.7	37376
brown county	77.76	43023
brown county	79.09	35166
brunswick county	78.3	42749
buena vista city	79.28	40320
bullitt county	78.56	40935
bureau county	79.49	43931
burleson county	77.78	42629
burnett county	79.08	42706
butte county	78.35	38639
butte county	78.74	38961
cache county	81.97	38974
caldwell county	77.98	33668
caledonia county	79.9	41246
calhoun county	78.93	42511
callaway county	77.89	38686
camas county	80.89	38600
cambria county	78.34	43420
camden county	78.79	38794
cameron county	80.14	28756
campbell county	78.83	37719
canyon county	79.05	32680
caribou county	78.79	39146
carlton county	78.5	43098
carroll county	77.97	33690
carroll county	78.28	39698
carroll county	79.06	42399
castro county	78.56	42786
catoosa county	78.1	35158
catron county	80.07	32010
cattaraugus county	78.32	39995
cayuga county	80.06	42231
chariton county	78.69	42227
charlotte county	80.6	41564
chautauqua county	78.97	40759
cheboygan county	79.22	40080
chenango county	78.64	41840
chippewa county	79.57	34269
chouteau county	79.55	37340
christian county	77.92	41724
christian county	79.26	40301
clarion county	78.27	41732
clark county	78.28	39408
clark county	80.02	40228
clarke county	78.35	33970
clarke county	78.57	43888
clay county	78.18	42909
clay county	78.43	34057
clay county	79.88	42069
clay county	80.22	39485
clay county	80.53	43180
clearwater county	78.35	44001
clearwater county	78.63	34506
clinton county	77.88	39172
clinton county	78.58	39716
clinton county	79.18	44081
cloud county	78.52	38144
cochise county	78.83	40308
coles county	78.42	40995
colfax county	78.54	39826
colfax county	80.58	43106
colonial heights city	78.19	40352
columbia county	79.14	42211
concho county	78.37	19801
conejos county	78.11	36894
cooper county	77.93	38916
coos county	78.19	43098
cortland county	79	40691
coryell county	77.88	33996
craig county	78.24	38185
crawford county	77.96	34648
crawford county	78.05	40969
crawford county	79.64	41485
crawford county	80.33	41765
crook county	79.18	40945
crowley county	77.94	19141
cumberland county	78.39	38698
cumberland county	78.8	43778
custer county	80.4	43185
custer county	81.46	41681
daggett county	81.27	41157
dakota county	78.39	41831
darke county	78.69	42793
davis county	79.84	36921
dawes county	79.71	37092
dawson county	78.96	43055
decatur county	78.07	42733
decatur county	78.29	35908
defiance county	78.68	41540
dekalb county	77.83	44069
dekalb county	78.55	28294
dekalb county	79.89	40929
delaware county	79.54	39632
delta county	78.85	38855
delta county	79.75	40551
desoto county	79.71	23610
dickinson county	78.64	40582
dimmit county	77.8	36639
dixon county	80.18	44185
dolores county	79.5	34935
doña ana county	79.61	36570
doniphan county	79.01	37405
dorchester county	78.28	38892
douglas county	78.4	43004
douglas county	80.53	43642
douglas county	80.56	41508
dunn county	81.16	39948
eaton county	79.66	42693
edgefield county	77.82	36436
edwards county	79.51	35182
el paso county	79.79	35856
ellsworth county	78.88	43316
elmore county	78.46	36855
emery county	77.99	33145
