county	ratio
8025	2.7716
42053	2.2152
13259	2.1514
2013	2.0784
2016	1.9374
48169	1.8587
22125	1.8544
12125	1.8248
32027	1.8209
13309	1.8084
8011	1.8053
17009	1.7980
13053	1.7789
30077	1.6956
51081	1.6907
47095	1.6902
48253	1.6845
29063	1.6701
2185	1.6566
6035	1.6477
12077	1.6229
48001	1.5935
5079	1.5898
48075	1.5807
48389	1.5747
48025	1.5561
48335	1.5364
13037	1.5344
48205	1.5106
13315	1.4899
28055	1.4897
28163	1.4872
40003	1.4802
51183	1.4737
26095	1.4728
47007	1.4699
54021	1.4539
46009	1.4524
31097	1.4498
48163	1.4495
47169	1.4308
48283	1.4297
13271	1.4203
39121	1.4137
48255	1.4131
8073	1.4065
13049	1.4043
32033	1.3944
48471	1.3851
48301	1.3803
12047	1.3726
28041	1.3706
40055	1.3652
48313	1.3579
8043	1.3556
49009	1.3515
21175	1.3489
13267	1.3439
8075	1.3391
48227	1.3334
21063	1.3244
12037	1.3215
35019	1.3181
22027	1.3177
20053	1.3096
48371	1.3096
22003	1.3002
13167	1.2987
48237	1.2981
37177	1.2962
51159	1.2953
51678	1.2953
12027	1.2884
29169	1.2882
5077	1.2863
30101	1.2835
20145	1.2818
35059	1.2816
22043	1.2762
12067	1.2750
21143	1.2742
13141	1.2722
17101	1.2718
21129	1.2716
2068	1.2695
12043	1.2600
20137	1.2592
54017	1.2552
12007	1.2545
48125	1.2470
28135	1.2461
2282	1.2442
26033	1.2440
47181	1.2410
29163	1.2393
48489	1.2385
21159	1.2368
26003	1.2362
16035	1.2337
17145	1.2334
5123	1.2324
6031	1.2295
48173	1.2294
12029	1.2292
17157	1.2283
26013	1.2265
8111	1.2263
47069	1.2261
36033	1.2250
2240	1.2235
37133	1.2189
48297	1.2186
51029	1.2181
2198	1.2177
48271	1.2157
51021	1.2144
19101	1.2122
37079	1.2110
13193	1.2079
48115	1.2074
8117	1.2067
47129	1.2044
30069	1.2036
42119	1.2035
6015	1.2028
13093	1.2016
22037	1.2009
21147	1.2004
1011	1.1992
17087	1.1965
40107	1.1961
18153	1.1960
6005	1.1945
48185	1.1934
41045	1.1908
39097	1.1907
12123	1.1884
32009	1.1880
22035	1.1864
54073	1.1845
36121	1.1842
38007	1.1835
37011	1.1826
48411	1.1820
12133	1.1811
40063	1.1797
29133	1.1792
24039	1.1788
51135	1.1788
8051	1.1773
26061	1.1768
12129	1.1767
48373	1.1765
48415	1.1763
26067	1.1728
12013	1.1727
28157	1.1722
48457	1.1720
8065	1.1713
6003	1.1712
12063	1.1695
38105	1.1693
45065	1.1674
26057	1.1670
38061	1.1662
18103	1.1659
18123	1.1653
48179	1.1641
2090	1.1640
2188	1.1638
48401	1.1615
51149	1.1601
12093	1.1590
47091	1.1577
38025	1.1559
51025	1.1555
45037	1.1553
27115	1.1550
56035	1.1550
4009	1.1543
38053	1.1540
30023	1.1536
22127	1.1533
55053	1.1526
40151	1.1525
48225	1.1518
31037	1.1508
40009	1.1508
8049	1.1495
48437	1.1490
32017	1.1479
37095	1.1475
32011	1.1471
48383	1.1467
28133	1.1456
29187	1.1448
42061	1.1435
38081	1.1418
20103	1.1416
55057	1.1413
1007	1.1399
38067	1.1394
29135	1.1392
46091	1.1391
13165	1.1385
40139	1.1381
56007	1.1378
35003	1.1376
55001	1.1374
2105	1.1373
48095	1.1347
48147	1.1345
12059	1.1341
41037	1.1337
17103	1.1330
42127	1.1328
12079	1.1325
48229	1.1318
2150	1.1308
19145	1.1307
2261	1.1286
6051	1.1285
21047	1.1283
46063	1.1279
48207	1.1279
48137	1.1278
8015	1.1271
39101	1.1264
20161	1.1260
12051	1.1259
31113	1.1250
8019	1.1249
46003	1.1243
1005	1.1241
51111	1.1225
13035	1.1215
8037	1.1204
12049	1.1202
55027	1.1187
8113	1.1184
2290	1.1174
40015	1.1170
13155	1.1169
48311	1.1168
48445	1.1158
42033	1.1154
17051	1.1152
22025	1.1145
8093	1.1139
49039	1.1138
40153	1.1132
38043	1.1124
2158	1.1123
48429	1.1123
2180	1.1119
48111	1.1116
55137	1.1115
12003	1.1098
35057	1.1096
42027	1.1092
30057	1.1089
22115	1.1087
56015	1.1087
8047	1.1077
33007	1.1076
12065	1.1071
47081	1.1061
27077	1.1059
8033	1.1055
48123	1.1055
36099	1.1051
36045	1.1047
46119	1.1044
16081	1.1043
17033	1.1043
39129	1.1043
48261	1.1042
38075	1.1040
29215	1.1032
17135	1.1015
48359	1.1015
2230	1.1012
17169	1.1012
16039	1.1007
2060	1.1005
18133	1.1004
16043	1.0989
16049	1.0989
46051	1.0988
20061	1.0987
31075	1.0976
41059	1.0976
49017	1.0976
21225	1.0973
56045	1.0972
38101	1.0967
42111	1.0963
31009	1.0946
31069	1.0946
42113	1.0946
38023	1.0944
5059	1.0943
38013	1.0941
8071	1.0938
27017	1.0938
29161	1.0938
19169	1.0937
21185	1.0930
45069	1.0920
39141	1.0916
20075	1.0914
18065	1.0913
21051	1.0911
2122	1.0904
48421	1.0899
51105	1.0898
51710	1.0895
8121	1.0894
13091	1.0893
29053	1.0893
40005	1.0893
42059	1.0890
48189	1.0884
30083	1.0883
24001	1.0880
51195	1.0875
46079	1.0873
36039	1.0872
46135	1.0869
17057	1.0865
4021	1.0862
16015	1.0855
27167	1.0850
31047	1.0849
22059	1.0848
46093	1.0848
45005	1.0835
2275	1.0833
38087	1.0833
46039	1.0828
54083	1.0828
32013	1.0823
32007	1.0820
41055	1.0819
48161	1.0818
28001	1.0813
55017	1.0812
55023	1.0809
30031	1.0806
2195	1.0803
20057	1.0803
20143	1.0802
55043	1.0802
17005	1.0798
38065	1.0796
40031	1.0795
5065	1.0789
16085	1.0788
2170	1.0787
19105	1.0787
47097	1.0784
46069	1.0783
38073	1.0781
53045	1.0781
48341	1.0776
19025	1.0774
29175	1.0774
8107	1.0770
46097	1.0769
46111	1.0762
35009	1.0757
35035	1.0754
46085	1.0752
56001	1.0750
12087	1.0749
13101	1.0746
6109	1.0742
16063	1.0742
30107	1.0741
38047	1.0740
17027	1.0736
8097	1.0734
20203	1.0734
4011	1.0729
12023	1.0729
26023	1.0729
30021	1.0729
29179	1.0727
38049	1.0725
56039	1.0724
51121	1.0718
48369	1.0714
13205	1.0713
27153	1.0710
31165	1.0710
19187	1.0708
51175	1.0708
8027	1.0703
26117	1.0699
36115	1.0697
41031	1.0697
48485	1.0697
51145	1.0697
36031	1.0696
38089	1.0696
46021	1.0692
48495	1.0687
31083	1.0685
38091	1.0678
48325	1.0671
38077	1.0666
38045	1.0664
12041	1.0660
2050	1.0656
28079	1.0656
53021	1.0656
20055	1.0653
19087	1.0646
26101	1.0644
38009	1.0644
49033	1.0640
18155	1.0639
18091	1.0633
29151	1.0632
48033	1.0631
27105	1.0629
27135	1.0627
8057	1.0622
19177	1.0621
4027	1.0620
56037	1.0620
27025	1.0617
17081	1.0609
46053	1.0606
30007	1.0605
8053	1.0603
29221	1.0600
55037	1.0600
49031	1.0599
31151	1.0597
12121	1.0596
32015	1.0596
38057	1.0596
49029	1.0595
30091	1.0591
38019	1.0591
35025	1.0588
56005	1.0587
21091	1.0585
30019	1.0585
51077	1.0582
22021	1.0581
53019	1.0580
46011	1.0579
13039	1.0576
17151	1.0576
16003	1.0575
20017	1.0575
6105	1.0574
48375	1.0572
54061	1.0571
36019	1.0570
30055	1.0569
8023	1.0566
25019	1.0565
22049	1.0562
13069	1.0561
16009	1.0557
27063	1.0555
48293	1.0553
48057	1.0550
38035	1.0548
42083	1.0548
55083	1.0548
27075	1.0546
20047	1.0543
16041	1.0542
36105	1.0539
49027	1.0536
32510	1.0535
36011	1.0535
48069	1.0534
20007	1.0533
48377	1.0533
51685	1.0531
46095	1.0528
48351	1.0527
16053	1.0525
27141	1.0524
27125	1.0521
48247	1.0521
48305	1.0521
37007	1.0519
4012	1.0517
46025	1.0516
6025	1.0514
32029	1.0512
13305	1.0511
40035	1.0511
46077	1.0511
49023	1.0510
42107	1.0509
30061	1.0508
30059	1.0507
54077	1.0507
18131	1.0506
20089	1.0506
46057	1.0506
55113	1.0505
30039	1.0504
35033	1.0503
20197	1.0500
6029	1.0498
35006	1.0496
49043	1.0496
38093	1.0489
29027	1.0488
19117	1.0486
48243	1.0486
8103	1.0479
20083	1.0479
29045	1.0479
30001	1.0479
54075	1.0479
20175	1.0478
55013	1.0478
49055	1.0476
29225	1.0475
31135	1.0475
31159	1.0474
48003	1.0472
48131	1.0472
55099	1.0471
29101	1.0470
48319	1.0469
8081	1.0467
16051	1.0467
16073	1.0466
2130	1.0464
26083	1.0464
32023	1.0463
48245	1.0463
32019	1.0462
45049	1.0462
48295	1.0462
16033	1.0460
53035	1.0460
19099	1.0459
30027	1.0459
56009	1.0459
20165	1.0458
26131	1.0458
27021	1.0458
27131	1.0458
53027	1.0458
18157	1.0457
35028	1.0457
26079	1.0456
21191	1.0454
17155	1.0453
13303	1.0452
48465	1.0452
55021	1.0452
26075	1.0451
16037	1.0450
30089	1.0447
53051	1.0447
16025	1.0444
26135	1.0444
26119	1.0443
31123	1.0440
8045	1.0439
53001	1.0439
39013	1.0437
2164	1.0436
29057	1.0435
40119	1.0434
48435	1.0433
38099	1.0432
8055	1.0430
26039	1.0430
38039	1.0430
48135	1.0430
19005	1.0425
35021	1.0425
38071	1.0424
21177	1.0423
16029	1.0420
31031	1.0420
29211	1.0419
30043	1.0413
41001	1.0413
46019	1.0413
49041	1.0412
55011	1.0412
19173	1.0410
27129	1.0410
19115	1.0409
31093	1.0408
36089	1.0408
46117	1.0408
48345	1.0408
19039	1.0406
19047	1.0405
49003	1.0403
16023	1.0401
27121	1.0401
30025	1.0401
8087	1.0400
48047	1.0400
22039	1.0399
2220	1.0396
12113	1.0395
37003	1.0392
51097	1.0392
6075	1.0391
13055	1.0391
22011	1.0391
38097	1.0391
38063	1.0390
56023	1.0389
48043	1.0388
48073	1.0388
6043	1.0385
6053	1.0385
53071	1.0384
53043	1.0382
6011	1.0381
6021	1.0381
34011	1.0381
18025	1.0380
20119	1.0379
51051	1.0379
41025	1.0378
54027	1.0377
20019	1.0376
30045	1.0376
53059	1.0376
51127	1.0375
48263	1.0374
16047	1.0372
16061	1.0372
40025	1.0372
48507	1.0372
31035	1.0371
37137	1.0371
38005	1.0370
31051	1.0369
40121	1.0369
48083	1.0366
53075	1.0366
49051	1.0365
31027	1.0364
29137	1.0363
38095	1.0363
48501	1.0362
49015	1.0362
17021	1.0361
24043	1.0359
30109	1.0357
20195	1.0356
31085	1.0353
54105	1.0353
55107	1.0353
22029	1.0352
46109	1.0352
2110	1.0351
55119	1.0351
2020	1.0349
41049	1.0349
54093	1.0348
20201	1.0346
27029	1.0346
30095	1.0346
16031	1.0345
48021	1.0344
48235	1.0344
38069	1.0343
53025	1.0341
35007	1.0339
17107	1.0338
31183	1.0338
55061	1.0338
31043	1.0335
13011	1.0334
18107	1.0334
20087	1.0334
48273	1.0334
55077	1.0334
27093	1.0333
31141	1.0333
37033	1.0333
30097	1.0332
32001	1.0331
26097	1.0329
36003	1.0329
20141	1.0327
31073	1.0327
55007	1.0327
39139	1.0326
30037	1.0322
46037	1.0322
49001	1.0321
19119	1.0320
19123	1.0319
13003	1.0316
37077	1.0316
16057	1.0315
29025	1.0315
56043	1.0315
19143	1.0314
49045	1.0312
18087	1.0311
51015	1.0310
55125	1.0310
48329	1.0309
29186	1.0306
31115	1.0306
21077	1.0304
20107	1.0303
31155	1.0303
49047	1.0303
