abbr	snowAreaRatio
RI	68670.76
CT	23280.63
HI	0
NJ	23512.15
MA	31483.4
NH	30137.01
VT	52560.5
MD	19812.57
WV	28892.33
SC	534.27
ME	15131.61
IN	20211.71
VA	17514.19
KY	11878.82
OH	21417.65
TN	4334.35
LA	136.72
PA	23026.11
MS	441.04
NY	35620.12
NC	4320.21
AL	362.88
AR	1964.11
FL	6.48
WI	25172.61
IL	12885.29
IA	20583.53
MI	43284.06
GA	652.91
WA	5085.65
OK	2794.03
MO	8198.73
ND	11603.69
SD	13287.82
NE	13851.17
MN	19178.66
KS	8215.7
UT	7229.73
ID	10637.79
OR	3063.5
WY	4944.21
CO	17233.8
NV	1172.58
AZ	441.88
NM	2307.19
MT	6719.27
CA	2780.29
TX	902.4
AK	1610.66
